GO:ID;Go term;Number of hits;Expected number of hits;Go level;P-value;Corrected p-value;Aspect
GO:0012501;programmed cell death;2;0.2002106;5;0.00106254592647395;1;BP
GO:0010941;regulation of cell death;2;0.143741;5;0.000397018112203545;0.7539374;BP
GO:0043067;regulation of programmed cell death;2;0.1180729;6;0.000218721012831619;0.4153512;BP
GO:0042981;regulation of apoptotic process;2;0.1180729;7;0.000218721012831619;0.4153512;BP
GO:0019048;modulation by virus of host morphology or physiology;1;0.02566803;6;0.000259540013980367;0.4928665;BP
GO:0019054;modulation by virus of host process;1;0.02053442;7;0.00015625288288064;0.2967242;BP
GO:0035821;modification of morphology or physiology of other organism;1;0.03080163;3;0.000387992845169985;0.7367984;BP
GO:0044003;modification by symbiont of host morphology or physiology;1;0.02566803;5;0.000259540013980367;0.4928665;BP
GO:0044068;modulation by symbiont of host cellular process;1;0.02053442;6;0.00015625288288064;0.2967242;BP
GO:0044531;modulation of programmed cell death in other organism;1;0.005133605;4;0;0;BP
GO:0044532;modulation of apoptotic process in other organism;1;0.005133605;8;0;0;BP
GO:0051701;interaction with host;1;0.04620245;4;0.000921770830216845;1;BP
GO:0051817;modification of morphology or physiology of other organism involved in symbiotic interaction;1;0.02566803;4;0.000259540013980367;0.4928665;BP
GO:0052040;modulation by symbiont of host programmed cell death;1;0.005133605;7;0;0;BP
GO:0052150;modulation by symbiont of host apoptotic process;1;0.005133605;8;0;0;BP
GO:0052248;modulation of programmed cell death in other organism involved in symbiotic interaction;1;0.005133605;5;0;0;BP
GO:0052433;modulation by organism of apoptotic process in other organism involved in symbiotic interaction;1;0.005133605;9;0;0;BP
GO:0065008;regulation of biological quality;1;0.364486;3;0.0517243650660705;1;BP
GO:0039526;modulation by virus of host apoptotic process;1;0.005133605;8;0;0;BP
GO:0006461;protein complex assembly;1;0.0975385;6;0.00423300757150273;1;BP
GO:0022607;cellular component assembly;1;0.2156114;4;0.0197311059422678;1;BP
GO:0016043;cellular component organization;1;0.6417007;3;0.135298517630974;1;BP
GO:0043933;macromolecular complex subunit organization;1;0.1334737;4;0.00785787364960272;1;BP
GO:0044085;cellular component biogenesis;1;0.2156114;3;0.0197311059422678;1;BP
GO:0065003;macromolecular complex assembly;1;0.1232065;5;0.0067181692357653;1;BP
GO:0070271;protein complex biogenesis;1;0.0975385;4;0.00423300757150273;1;BP
GO:0071822;protein complex subunit organization;1;0.1026721;5;0.00468751971225159;1;BP
GO:0071840;cellular component organization or biogenesis;1;0.6417007;2;0.135298517630974;1;BP
GO:0051259;protein oligomerization;1;0.06160326;7;0.00167285310187164;1;BP
GO:0006470;protein dephosphorylation;2;0.7187048;8;0.0357444773731201;1;BP
GO:0035335;peptidyl-tyrosine dephosphorylation;1;0.005133605;9;0;0;BP
GO:0005575;cellular_component;94;50.14026;1;1.16031662538324e-09;3.248887e-07;CC
GO:0016020;membrane;52;27.61591;2;5.14318174623302e-06;0.001440091;CC
GO:0031224;intrinsic component of membrane;25;6.160149;3;8.51986826715615e-10;2.385563e-07;CC
GO:0044425;membrane part;25;9.009742;2;1.69813479615832e-06;0.0004754777;CC
GO:0016021;integral component of membrane;23;6.076338;4;1.39047190753581e-08;3.893321e-06;CC
GO:0018995;host;34;2.577205;3;7.78246175980356e-30;2.179089e-27;CC
GO:0033643;host cell part;34;2.493394;3;2.16089739527106e-30;6.050513e-28;CC
GO:0043657;host cell;34;2.493394;4;2.16089739527106e-30;6.050513e-28;CC
GO:0044215;other organism;34;2.598158;2;1.06338611294989e-29;2.977481e-27;CC
GO:0044216;other organism cell;34;2.514347;3;2.99184656602127e-30;8.37717e-28;CC
GO:0044217;other organism part;34;2.598158;2;1.06338611294989e-29;2.977481e-27;CC
GO:0044218;other organism cell membrane;18;1.550514;4;7.10913011339069e-16;1.990556e-13;CC
GO:0044279;other organism membrane;18;1.550514;3;7.10913011339069e-16;1.990556e-13;CC
GO:0033644;host cell membrane;18;1.529561;4;5.38776602705277e-16;1.508574e-13;CC
GO:0005623;cell;6;35.68277;2;0.99999999960494;1;CC
GO:0044464;cell part;6;35.66182;2;0.999999999597432;1;CC
GO:0030428;cell septum;1;0.04190578;3;0.000438339115506839;0.122735;CC
GO:0071944;cell periphery;4;6.243961;3;0.750566853535557;1;CC
GO:0005886;plasma membrane;4;5.636327;3;0.667027443618335;1;CC
GO:0005622;intracellular;1;27.23876;3;0.999999999982068;1;CC
GO:0044424;intracellular part;1;27.23876;3;0.999999999982068;1;CC
GO:0005737;cytoplasm;1;22.54531;4;0.999999997924532;1;CC
GO:0005576;extracellular region;1;1.110503;2;0.305261739899929;1;CC
GO:0033646;host intracellular part;16;1.320032;4;9.67164953375433e-15;2.708062e-12;CC
GO:0033647;host intracellular organelle;15;1.152409;5;1.59526670310684e-14;4.466747e-12;CC
GO:0033648;host intracellular membrane-bounded organelle;15;1.152409;6;1.59526670310684e-14;4.466747e-12;CC
GO:0043656;intracellular region of host;16;1.320032;4;9.67164953375433e-15;2.708062e-12;CC
GO:0031225;anchored component of membrane;2;0.08381156;4;3.60504967406878e-05;0.01009414;CC
GO:0019012;virion;5;0.1466702;2;5.68301599861243e-10;1.591244e-07;CC
GO:0030430;host cell cytoplasm;16;1.194315;5;1.49813208673006e-15;4.19477e-13;CC
GO:0033655;host cell cytoplasm part;15;1.026692;5;2.01687088912437e-15;5.647238e-13;CC
GO:0044172;host cell endoplasmic reticulum-Golgi intermediate compartment;5;0.1047644;7;0;0;CC
GO:0044165;host cell endoplasmic reticulum;10;0.9219271;7;1.28331423707315e-09;3.59328e-07;CC
GO:0044166;host cell endoplasmic reticulum lumen;5;0.1047644;6;0;0;CC
GO:0043231;intracellular membrane-bounded organelle;1;19.31856;4;0.999999947966233;1;CC
GO:0043226;organelle;1;21.24623;2;0.999999992370629;1;CC
GO:0043227;membrane-bounded organelle;1;19.82143;3;0.999999968421428;1;CC
GO:0043229;intracellular organelle;1;20.72241;3;0.999999987126702;1;CC
GO:0044444;cytoplasmic part;1;19.54905;4;0.999999958606516;1;CC
GO:0042735;protein body;1;0.04190578;5;0.000438339115506839;0.122735;CC
GO:0003674;molecular_function;17;17.80694;1;0.522171041374854;1;MF
GO:0003676;nucleic acid binding;2;0.4975299;4;0.013237971404479;1;MF
GO:0005488;binding;6;9.580343;2;0.857456568968818;1;MF
GO:0097159;organic cyclic compound binding;2;1.168617;3;0.111559070247854;1;MF
GO:1901363;heterocyclic compound binding;2;1.168617;3;0.111559070247854;1;MF
GO:0003677;DNA binding;2;0.150416;5;0.000393823190474854;0.102394;MF
GO:0003824;catalytic activity;8;6.421607;2;0.1910114312507;1;MF
GO:0016740;transferase activity;2;0.9372075;3;0.0670787095675492;1;MF
GO:0016772;transferase activity, transferring phosphorus-containing groups;2;0.150416;4;0.000393823190474854;0.102394;MF
GO:0016779;nucleotidyltransferase activity;2;0.06942278;5;2.92080861629049e-05;0.007594102;MF
GO:0034062;RNA polymerase activity;2;0.04628185;6;5.94080098478207e-06;0.001544608;MF
GO:0003899;DNA-directed RNA polymerase activity;2;0.03471139;7;1.49776440330479e-06;0.0003894187;MF
GO:0016787;hydrolase activity;5;3.170307;3;0.0971065164168408;1;MF
GO:0016788;hydrolase activity, acting on ester bonds;4;0.5553822;4;0.00021428835147042;0.05571497;MF
GO:0016791;phosphatase activity;4;0.5206708;6;0.000157123664176642;0.04085215;MF
GO:0042578;phosphoric ester hydrolase activity;4;0.5206708;5;0.000157123664176642;0.04085215;MF
GO:0046872;metal ion binding;4;0.474389;5;9.99454169514313e-05;0.02598581;MF
GO:0043167;ion binding;4;1.538872;3;0.0187062455410123;1;MF
GO:0043169;cation binding;4;0.474389;4;9.99454169514313e-05;0.02598581;MF
GO:0046914;transition metal ion binding;1;0.0925637;6;0.00354260796458917;0.9210781;MF
GO:0016491;oxidoreductase activity;1;0.9603484;3;0.24946195948321;1;MF
GO:0008270;zinc ion binding;1;0.06942278;7;0.00192666784882745;0.5009336;MF
GO:0045735;nutrient reservoir activity;3;0.4281071;2;0.000826310709623488;0.2148408;MF
GO:0004721;phosphoprotein phosphatase activity;3;0.474389;7;0.00122320656499104;0.3180337;MF
GO:0004725;protein tyrosine phosphatase activity;1;0.01157046;8;0;0;MF
GO:0008138;protein tyrosine/serine/threonine phosphatase activity;1;0.01157046;8;0;0;MF
